"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","desgosto"
1.28,0.21,2.3,0,0,0,0,0,0,0,0,0,0.28,0,0.29,0,FALSE
0.12,-0.61,0.53,0,0.24,0,0.07,0,0,0.03,0,-0.02,0.27,0,0.27,0,FALSE
1.24,0,1.06,0,0,0,0,-1.26,0,0,0.17,-0.05,0.38,0,0.38,0,FALSE
0,0.15,1.76,0,0,0,0,-1.36,0,0,0,-0.04,0,0,0,0,FALSE
0.14,0,0.2,0,-0.62,0,0,-2.15,0.1,0,0.16,0.44,-0.02,0,0.16,-0.18,TRUE
0.43,0.15,0.37,0,0,-0.04,0,-0.15,0,0,0,0,0.09,-0.09,0.09,-0.09,FALSE
0.38,0,0.5,0,0.18,0,0.06,-0.2,0,0,0,-0.06,-0.09,0,-0.09,0,FALSE
0.18,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0.71,0,3.95,0,0,0,0,0,0,0,0,0,0.22,0,0.22,0,FALSE
0.3,0,0.36,0,0.13,-0.08,0.1,-0.11,0,0,0,0,0.19,-0.11,0.09,-0.11,FALSE
0.33,-0.34,1.71,0,0,0,0,0,0.09,0,0.11,0,-0.01,0,-0.01,0,FALSE
3.28,0.01,1.66,-0.06,-0.15,0,0,-2.22,0.09,0,0.17,-0.3,0.22,-0.07,0,0.15,TRUE
0,0,0.28,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0,TRUE
2.16,0,2.32,0,0.01,0,0,-1.75,0,0,0,0,0.13,0,0.16,-0.8,TRUE
0.19,0,0.21,0,0.21,0,0.36,0,0,0,0,0,0.15,0,0.15,0,FALSE
0.81,0.48,2.44,0,-0.07,0,0,0,0.09,0,0.17,0,0.13,0,0.11,0,FALSE
2.67,0.01,3.96,0,-0.49,0,0,-2.4,0,0,0,0,-0.07,0,0.1,-0.17,FALSE
0,0,0,0,0,0,0,-1.94,0,0,0,-0.82,0.17,0,0.17,0,TRUE
1.37,0,1.46,0,0,-0.14,0,-0.27,0.2,0,0.21,0,0.36,-0.12,0.36,-0.12,TRUE
0,0,0,0,0,-0.13,0,-1.4,0,0,0,0.35,0,-0.09,0,-0.09,TRUE
0,0,0,0,0.31,0,0.08,-1.91,0,0,0,-0.26,0.24,0,0.27,0,TRUE
0.18,0.07,0.11,0.07,0,-0.05,0.03,-1.57,0,0,0,-0.35,0.04,-0.1,-0.07,-0.85,FALSE
1.77,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0.52,0,0,-0.19,0,-0.18,0,-0.09,0.11,0.05,0.11,0,0.06,0,FALSE
0.18,0,0.11,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,FALSE
