"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
3.82,0.21,5.16,0,0.16,0,0.13,0,0,0,0,0,0.09,0,0.09,0,"MedoTristeza"
1.78,0,1.9,0,0,0,0,-3.3,0,0,0,-0.08,0,0,0,0,"DesgostoMedoRaiva"
0.5,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
0.46,-0.09,3.49,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0,"Tristeza"
1.57,-0.15,2.82,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,"DesgostoTristeza"
2.16,0,2.25,0,0,0,0,0,0,0,0,0,0.39,0,0.34,0,"RaivaTristeza"
2.65,0,2.44,0,0,-0.11,0,-1.57,0,-0.01,0,-0.28,0.17,0,0.17,0,"AlegriaSurpresa"
0,0,0,0,-0.28,0,0.07,-2.37,0,0,0,0.04,0.07,0,0.24,-0.17,"Neutro"
0.79,-0.23,2.24,0,0.18,-0.24,0.19,-1.97,0.12,0,0.1,-0.01,0.39,0,0.39,0,"AlegriaTristeza"
0,0.09,1.76,0,0,0,0,-3.08,0.11,0,0.18,-0.33,0,0,0,-0.74,"SurpresaTristeza"
0.14,0.15,1.68,0,-0.08,0,0,-4.47,0.14,0,0.17,-0.05,0.22,0,0,-0.51,"Tristeza"
2.26,0,0.4,0,0.16,0,0.13,-2.35,0,0.09,0,-0.2,0.43,0,0.28,0.15,"Tristeza"
0,0,0.21,0,0,0,0,-1.83,0,0,0,-0.02,0.06,0,0.01,0,"AlegriaDesgostoMedoTristeza"
3.06,0,2.83,0,0,0,0,-4.62,0,0,0,-0.88,0.41,0,0.41,0,"DesgostoSurpresaTristeza"
1.26,0,0.73,0,0,0,0,0,0,0,0,0.15,0.53,0,0.53,0,"MedoNeutroTristeza"
0.13,0.08,0.1,0,0,0,0,0,0,0,0,0,0.01,-0.13,0.01,0,"AlegriaNeutroSurpresa"
0.19,0,0.16,0,0.18,0,0.06,-1.91,0,-0.08,0.12,-0.69,0.07,0,0.07,0,"Neutro"
1.66,0,1.74,0,0,0,0,-1.63,0,0,0,0,0.29,0,0.29,0,"DesgostoSurpresaTristeza"
0,-0.34,1.31,0,0,-0.22,0,-3.53,0,0,0,-0.31,0,-0.18,0,-0.18,"DesgostoTristeza"
1.92,0.07,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,"SurpresaTristeza"
0.36,0,0.29,0,0,-0.04,0.02,-1.75,0,0,0,-0.11,0.02,-0.09,-0.09,-0.09,"NeutroSurpresa"
0,0.03,3.08,0,0,0,0,-0.3,0,0,0,0,0,0,0,-0.22,"MedoSurpresaTristeza"
0.89,0,0.84,0,0,0,0,-1.49,0,0,0,-0.11,0.1,0,0.1,0,"NeutroSurpresa"
1.93,0,0.2,0,0,0,0,-1.35,0,0,0,-0.06,0.14,0,0.14,0,"MedoSurpresaTristeza"
0,0.04,3.15,0,0,0,0,-1.58,0,0,0,-0.3,0.1,0,0.1,0,"DesgostoNeutro"
2.66,0,2.82,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0,"DesgostoTristeza"
0.32,0,0.66,0,0.03,0,0.03,0,0,0,0,0,0.03,0,0.06,0,"DesgostoTristeza"
1.78,0,1.9,0,0,0,0,-2.45,0,0,0,-0.45,0,0,0,0,"DesgostoMedoTristeza"
0.3,0,0.52,0,-0.07,0,0,0,0.09,0,0.17,0,0.16,0,0.16,0,"Neutro"
0,-0.09,0,0,0,0,0,-1.45,0.25,-0.1,0.11,-0.2,0,0,0,0,"DesgostoTristeza"
0.24,-0.02,2.19,0,0,0,0,-1.91,0,-0.1,0.15,-0.35,0,0,0,0,"DesgostoTristeza"
3.86,0,2.19,0,0,0,0,0,0.28,0,0.26,0,0.02,0,0.02,0,"DesgostoRaiva"
0.26,0,0.23,0,0.23,0,0.07,-0.64,0,0,0,0,0.39,0,0.17,0.22,"NeutroSurpresa"
0,0.37,1.55,0,0,0,0,0,0,-0.03,0,-0.15,0.17,0,0.17,0,"DesgostoNeutroRaiva"
0.61,0,0.58,0,0,-0.24,0,-0.44,0,0,0,0,0.11,0,0.11,0,"Neutro"
1.67,0,1.67,0,0,0,0,-3.32,0,0,0,-0.36,0.1,0,0.1,0,"Tristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoRaivaSurpresa"
0,0.43,3.12,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,"MedoTristeza"
0.42,0,0.43,0,0,-0.23,0,-0.37,0,0,0,0,0.06,-0.14,0.06,-0.14,"Neutro"
1.78,0.3,3.29,0,0.03,-0.14,0.28,-0.27,0,0,0,0,0.06,-0.12,-0.02,-0.12,"DesgostoRaiva"
1.58,0,1.5,0,0,0,0,-1.56,0,0,0,0.23,0,0,0,0,"MedoRaivaTristeza"
2.52,-0.02,5.85,0,0.15,0,0.02,0,0.29,0,0.4,0,0.11,0,0.11,0,"DesgostoRaivaTristeza"
0.27,-0.22,1.44,0,0.13,0,0.16,-1.63,0,0,0,-0.3,0.19,0,0.19,0,"DesgostoTristeza"
3.56,0.02,1.82,0,0,-0.54,-0.3,-1.45,0.17,0,0.21,-0.2,0,-0.45,-0.45,0,"RaivaTristeza"
0,0.02,1.29,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,"DesgostoMedoTristeza"
0.2,0,0,0,0,0,0,0,0.15,0,0,0.13,0.02,0,0,0,"Alegria"
2.41,0,2.34,0,0,0,0,-1.89,0,0,0,-0.06,0.48,0,0.48,0,"Neutro"
