"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
0,0,0,-0.2,0,-0.89,0,0,0.14,-0.05,0,0,0.94,0,0,-0.28,0,0,0,0,0.19,0,0,0,"Neutro"
0,0,0,-0.24,0,-0.71,0,0,0.46,0,0,0,0,0.6,0.01,-0.25,0,0,0,0,0.32,0,0,-0.86,"Tristeza"
0.89,0,0.04,-0.03,0,-0.93,0,0,0.37,0,0,0,0.69,0,0.03,-0.18,0,0,0,0,0.43,0,-0.63,0,"Neutro"
0,0.56,0,-0.15,0,0,0,0,0.17,0,0,-0.7,0,0,0,-0.28,0,0,0.88,0,0.17,-0.05,0,0,"Neutro"
0,0,0.17,0,0,0,0,0,0.68,0,0,0,0,0,0.03,-0.39,0,0,0,0,0.89,0,0,0,"Neutro"
0.75,0,0.02,-0.14,-0.45,-0.89,0,0.41,0.57,0,-0.6,0,0.94,0,0.02,-0.32,0,0,0,0.63,0.4,-0.18,0,0,"Neutro"
1,0,0,-0.15,0,0,0.72,0,0.09,0,0,0,0,0,0,-0.17,0,0,0.77,0,0.17,-0.24,0,0,"Neutro"
0.72,0.47,0.06,0,0,-0.99,0,0.77,0.18,0,-0.51,0,0,0,0,-0.53,0,-0.8,0,1.02,0.67,0,0,0,"Medo"
0,0,0.07,-0.12,0,0,0,0,0.38,-0.06,0,0,0,0,0.12,-0.2,0,0,0,0,0.71,0,0,-0.98,"Desgosto"
0,0,0.16,-0.03,0,-0.98,0,0.35,0.16,0,0,0,0,0,0.02,-0.2,0,-0.82,0,0.38,0.15,-0.04,0,-0.95,"Surpresa"
0,0,0.05,-0.29,0,0,0,0,0.32,-0.04,0,0,0.89,0,0.09,-0.26,0,0,0,0,0.32,-0.09,0,-0.7,"Medo"
0.88,0,0.06,-0.04,0,-0.72,0,0,0.34,0,-1.19,0,0,0,0,-0.21,0,-0.89,0,0.92,0.29,0,0,0,"Alegria"
