"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","desgosto"
6.717857,7.965784,8.965784,14.522178,0,10.965784,0,0,13.522178,27.649425,7.965784,0,0,10.965784,0,38.171603,0,0,7.965784,0,13.522178,16.683641,0,10.965784,FALSE
39.055782,0,15.036751,21.19518,0,0,0,0,19.915072,16.316859,0,39.055782,0,0,21.19518,54.092533,0,0,39.055782,0,15.036751,21.19518,0,0,FALSE
0,0,17.761644,9.380822,0,0,0,0,9.965784,17.176681,0,0,0,0,9.380822,17.761644,0,0,0,0,9.965784,17.176681,0,0,FALSE
9.069809,0,10.965784,15.346606,0,0,18.035594,0,0,17.346606,0,0,0,0,0,35.3822,0,0,18.035594,0,0,17.346606,0,0,FALSE
10.965784,0,0,22.581873,0,10.166282,0,0,19.309575,24.404364,0,0,10.166282,0,0,33.547657,0,0,10.965784,0,22.581873,0,0,0,FALSE
0,6.795859,8.643856,3.272297,0,0,0,0,8.643856,3.272297,6.795859,0,0,0,0,18.712013,0,0,6.795859,0,11.916154,0,0,0,FALSE
0,0,7.643856,8.380822,0,0,0,0,0,16.024678,0,0,8.380822,0,0,7.643856,0,0,0,0,0,7.643856,0,8.380822,FALSE
8.643856,0,8.965784,25.990462,0,10.166282,0,0,23.990462,21.132067,8.643856,0,10.166282,0,8.380822,35.219281,0,0,0,8.643856,23.990462,0,0,10.965784,FALSE
0,0,9.965784,32.233781,0,0,0,0,17.472137,24.727428,0,0,0,0,14.761644,27.437921,0,0,0,0,27.437921,14.761644,0,0,FALSE
9.380822,0,0,43.077118,0,0,0,0,14.802286,28.274832,9.380822,0,8.158429,0,0,44.29951,0,0,0,9.380822,9.916154,19.124214,0,14.036751,FALSE
0,0,10.965784,5.680382,0,0,0,0,5.680382,10.965784,0,0,0,0,0,16.646166,0,0,0,0,16.646166,0,0,0,FALSE
16.035975,0,8.380822,0,0,0,16.035975,0,8.380822,0,0,0,0,0,0,24.416797,0,0,16.035975,0,8.380822,0,0,0,FALSE
0,0,0,24.401498,0,5.380822,0,0,13.435714,16.346606,0,0,0,5.380822,0,24.401498,0,0,0,0,24.401498,0,0,5.380822,FALSE
10.965784,7.380822,5.293359,11.771697,6.643856,7.380822,0,0,17.065056,14.024678,7.380822,10.965784,14.024678,0,0,35.411662,0,0,18.346606,0,11.771697,5.293359,0,14.024678,FALSE
0,9.380822,10.965784,8.158429,0,0,0,0,10.965784,8.158429,9.380822,0,0,0,8.158429,20.346606,0,0,9.380822,0,0,19.124214,0,0,TRUE
7.795859,0,8.965784,40.693212,7.965784,9.380822,0,0,27.727428,49.243959,7.795859,0,9.965784,7.965784,0,57.454856,0,9.380822,7.795859,0,27.727428,31.31239,0,17.931569,FALSE
6.717857,0,0,0,0,0,0,0,0,6.717857,0,0,0,0,0,6.717857,0,0,0,0,0,6.717857,0,0,FALSE
19.931569,0,0,4.795859,0,10.965784,0,0,4.795859,10.965784,0,19.931569,10.965784,0,0,24.727428,0,0,9.965784,9.965784,0,4.795859,0,10.965784,FALSE
0,0,12.539251,16.802286,0,7.643856,0,0,28.341537,8.643856,0,0,0,0,0,29.341537,7.643856,0,0,6.158429,14.539251,16.287712,0,0,FALSE
6.795859,0,9.965784,0,10.965784,0,0,0,0,27.727428,0,0,10.965784,0,0,16.761644,0,0,0,0,0,16.761644,0,10.965784,FALSE
9.965784,8.643856,21.931569,34.075235,0,9.965784,0,0,34.075235,20.931569,20.931569,8.643856,0,9.965784,15.844106,58.772338,0,0,18.60964,10.965784,29.196913,15.844106,0,9.965784,FALSE
0,0,0,7.965784,0,7.965784,0,0,0,15.931569,0,0,7.965784,0,0,7.965784,0,0,0,0,0,7.965784,0,7.965784,FALSE
15.887174,0,0,10.965784,0,10.965784,5.92139,0,0,10.965784,9.965784,10.965784,0,0,10.965784,15.887174,0,10.965784,0,9.965784,0,27.852959,0,0,FALSE
0,0,29.575425,0,0,18.60964,0,0,29.575425,18.60964,0,0,0,0,7.643856,21.931569,7.643856,10.965784,0,0,10.965784,26.253497,0,10.965784,FALSE
7.380822,9.965784,0,16.60964,0,0,0,9.965784,7.965784,8.643856,7.380822,0,0,0,0,33.956247,0,0,0,7.380822,18.60964,7.965784,0,0,FALSE
0,0,18.931569,25.327497,0,0,0,0,23.327497,10.965784,9.965784,0,0,0,10.965784,33.293282,0,0,0,9.965784,23.327497,10.965784,0,0,FALSE
0,10.965784,6.107803,17.931569,10.965784,0,0,10.965784,8.965784,26.039372,0,0,10.965784,0,6.107803,28.897353,0,0,0,0,17.073588,17.931569,0,10.965784,FALSE
6.878321,0,0,0,9.965784,0,0,0,0,9.965784,0,6.878321,9.965784,0,0,6.878321,0,0,6.878321,0,0,0,0,9.965784,FALSE
0,0,8.158429,43.171603,9.965784,15.287712,0,0,33.720392,42.863137,0,0,9.965784,0,8.158429,43.171603,15.287712,0,0,0,18.432679,48.185065,9.965784,0,TRUE
0,7.158429,28.089998,43.674103,0,0,0,0,31.807855,47.114676,0,0,0,0,0,78.922531,0,0,0,0,41.188676,37.733854,0,0,FALSE
0,0,9.965784,27.611951,0,0,0,0,17.231129,20.346606,0,0,0,0,9.380822,28.196913,0,0,0,0,17.231129,20.346606,0,0,FALSE
0,0,8.158429,0,0,0,0,0,8.158429,0,0,0,0,0,0,8.158429,0,0,0,0,8.158429,0,0,0,FALSE
19.346606,0,26.727428,0,0,0,0,0,26.727428,8.380822,0,10.965784,0,0,0,46.074034,0,0,19.346606,0,26.727428,0,0,0,FALSE
0,0,14.591719,43.863137,0,0,0,0,25.557503,32.897353,0,0,0,0,0,58.454856,0,0,0,0,36.523287,21.931569,0,0,FALSE
0,8.380822,17.539251,0,0,0,0,0,17.539251,0,0,8.380822,0,0,8.158429,17.761644,0,0,8.380822,0,17.539251,0,0,0,FALSE
17.346606,0,17.073588,15.844106,15.124214,0,17.346606,7.158429,4.878321,36.005156,0,0,0,7.965784,10.986125,46.436604,0,0,7.965784,0,6.107803,43.349141,0,7.965784,TRUE
0,0,5.717857,10.965784,0,0,0,0,10.965784,5.717857,0,0,0,0,0,16.683641,0,0,0,0,16.683641,0,0,0,TRUE
6.04654,0,24.697681,17.798663,0,8.380822,6.04654,0,36.618022,14.259143,0,0,0,0,0,48.542883,0,8.380822,6.04654,7.380822,24.697681,4.53952,0,14.259143,TRUE
0,0,10.965784,26.649425,0,0,0,0,37.61521,0,0,0,0,0,0,37.61521,0,0,0,9.965784,27.649425,0,0,0,FALSE
7.643856,0,26.105044,4.878321,0,0,0,5.680382,12.036751,13.266233,7.643856,0,0,0,10.986125,27.641097,0,0,0,7.643856,18.946615,12.036751,0,0,FALSE
3.02327,15.061204,0,0,0,20.346606,3.02327,7.265345,9.380822,10.965784,7.795859,0,0,0,0,29.050258,9.380822,0,3.02327,15.061204,0,9.380822,0,10.965784,FALSE
0,0,0,7.265345,0,9.380822,0,0,7.265345,9.380822,0,0,0,0,9.380822,7.265345,0,0,0,0,7.265345,0,0,9.380822,TRUE
0,10.965784,15.683641,9.380822,0,0,0,10.965784,9.965784,15.098679,0,0,0,0,9.965784,26.064463,0,0,0,10.965784,15.683641,9.380822,0,0,TRUE
0,0,0,6.380822,8.643856,0,0,0,0,15.024678,0,0,8.643856,0,0,6.380822,0,0,0,0,0,6.380822,8.643856,0,TRUE
0,0,0,15.505304,0,10.965784,0,0,15.505304,10.965784,0,0,10.965784,0,0,15.505304,0,0,0,0,10.965784,4.53952,0,10.965784,TRUE
0,0,13.291324,45.074034,0,10.965784,0,0,6.573467,62.757675,0,0,6.380822,10.965784,0,43.603714,0,8.380822,0,0,15.954289,17.683641,0,35.693212,FALSE
9.965784,0,0,0,0,0,9.965784,0,0,0,0,0,0,0,0,9.965784,0,0,9.965784,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
0,0,26.389558,38.425177,0,0,0,0,16.493608,48.321127,0,0,10.965784,0,18.231129,35.617822,0,0,0,7.380822,35.502345,10.965784,0,10.965784,FALSE
0,0,6.573467,0,0,0,0,0,6.573467,0,0,0,0,0,0,6.573467,0,0,0,0,6.573467,0,0,0,FALSE
18.761644,0,25.630566,0,0,0,9.380822,0,25.630566,0,0,9.380822,0,0,7.506353,36.885857,0,0,9.380822,0,18.124214,16.887174,0,0,FALSE
6.04654,0,20.931569,31.371284,0,0,6.04654,0,18.60964,33.693212,0,0,0,0,20.931569,37.417824,0,0,6.04654,0,28.575425,23.727428,0,0,FALSE
7.506353,0,17.124214,14.423774,0,0,0,0,23.389558,15.664782,0,0,0,0,0,39.05434,0,0,0,6.158429,25.389558,7.506353,0,0,TRUE
6.380822,0,7.965784,32.205819,0,0,6.380822,0,29.205819,10.965784,0,0,0,0,10.965784,35.58664,0,0,6.380822,0,29.205819,10.965784,0,0,TRUE
0,0,6.878321,4.556393,0,5.380822,0,0,4.556393,12.259143,0,0,0,5.380822,0,11.434715,0,0,0,0,4.556393,6.878321,0,5.380822,TRUE
11.404092,10.965784,0,21.02853,0,0,3.02327,0,10.062746,19.346606,0,10.965784,0,0,0,43.398406,0,0,13.989054,0,21.02853,8.380822,0,0,TRUE
9.965784,0,9.965784,9.965784,0,9.965784,9.965784,0,29.897353,0,0,0,0,0,0,29.897353,9.965784,0,9.965784,0,29.897353,0,0,0,FALSE
9.965784,10.965784,0,17.60964,0,0,9.965784,10.965784,17.60964,0,0,0,0,0,0,38.541209,0,0,9.965784,0,28.575425,0,0,0,TRUE
10.965784,0,10.965784,36.030247,0,12.316859,10.965784,0,17.683641,41.629249,0,0,12.316859,0,10.965784,46.996031,0,0,10.965784,0,36.030247,10.965784,0,12.316859,FALSE
14.781821,9.965784,16.124214,17.181498,0,0,0,9.965784,13.423774,19.881938,4.816037,9.965784,0,0,7.643856,50.409461,0,0,0,14.781821,43.271496,0,0,0,TRUE
19.931569,7.380822,0,17.596536,0,0,19.931569,0,5.680382,11.916154,0,7.380822,0,0,8.643856,36.26507,0,0,27.31239,0,8.952679,8.643856,0,0,FALSE
16.761644,0,17.60964,9.380822,0,9.965784,16.761644,0,19.346606,17.60964,0,0,0,0,17.60964,36.10825,0,0,0,0,9.380822,34.371284,0,9.965784,FALSE
19.346606,0,0,13.522178,0,10.166282,0,0,13.522178,19.547104,9.965784,0,10.166282,0,4.878321,27.990462,0,0,9.965784,0,8.643856,14.259143,0,0,TRUE
0,0,10.965784,0,0,0,0,0,10.965784,0,0,0,0,0,0,10.965784,0,0,0,0,10.965784,0,0,0,FALSE
0,0,10.586718,21.296975,0,0,0,0,10.586718,21.296975,0,0,0,0,0,31.883693,0,0,0,0,11.916154,19.96754,0,0,TRUE
0,7.795859,10.586718,8.965784,0,0,0,0,19.552502,0,7.795859,0,0,0,0,27.348361,0,0,0,16.761644,0,10.586718,0,0,TRUE
0,0,6.965784,18.931569,0,0,0,0,6.965784,18.931569,0,0,0,0,0,25.897353,0,0,0,6.965784,8.965784,0,0,9.965784,TRUE
0,0,7.506353,39.693212,0,0,0,0,20.931569,26.267996,0,0,0,0,0,47.199565,0,0,0,0,28.437921,18.761644,0,0,FALSE
0,0,19.346606,16.124214,0,0,0,0,26.505035,8.965784,0,0,0,0,8.965784,26.505035,0,0,0,0,26.505035,8.965784,0,0,TRUE
17.683641,0,7.643856,19.346606,0,0,6.717857,0,0,26.990462,10.965784,0,0,0,0,44.674103,0,0,0,10.965784,0,33.708319,0,0,FALSE
0,0,9.965784,23.045604,0,0,0,0,9.965784,23.045604,0,0,5.506353,0,10.965784,16.539251,0,0,0,0,27.505035,0,0,5.506353,FALSE
0,0,17.176681,0,0,32.897353,0,0,17.176681,32.897353,0,0,10.965784,21.931569,0,17.176681,0,0,0,0,17.176681,0,32.897353,0,FALSE
