"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
1,0,2,3,0,0,1,0,2,3,0,0,0,0,2,4,0,0,1,0,3,2,0,0,"RaivaTristeza"
1,0,2,2,0,0,0,0,3,2,0,0,0,0,0,5,0,0,0,1,3,1,0,0,"DesgostoTristeza"
1,0,1,4,0,0,1,0,4,1,0,0,0,0,1,5,0,0,1,0,4,1,0,0,"DesgostoSurpresaTristeza"
0,0,1,1,0,1,0,0,1,2,0,0,0,1,0,2,0,0,0,0,1,1,0,1,"DesgostoNeutro"
2,1,0,3,0,0,1,0,2,2,0,1,0,0,0,6,0,0,2,0,3,1,0,0,"DesgostoRaivaTristeza"
1,0,1,1,0,1,1,0,3,0,0,0,0,0,0,3,1,0,1,0,3,0,0,0,"NeutroSurpresa"
1,1,0,2,0,0,1,1,2,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,"DesgostoMedoRaivaTristeza"
1,0,1,4,0,1,1,0,2,4,0,0,1,0,1,5,0,0,1,0,4,1,0,1,"Surpresa"
2,1,2,3,0,0,0,1,2,3,1,1,0,0,1,7,0,0,0,2,6,0,0,0,"DesgostoMedo"
1,1,0,3,0,0,1,0,1,2,0,1,0,0,1,4,0,0,2,0,2,1,0,0,"MedoTristeza"
1,0,2,1,0,1,1,0,2,2,0,0,0,0,2,3,0,0,0,0,1,3,0,1,"Neutro"
2,0,0,2,0,1,0,0,2,2,1,0,1,0,1,3,0,0,1,0,1,2,0,0,"AlegriaDesgostoNeutro"
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"MedoTristeza"
0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,2,2,0,0,"DesgostoTristeza"
0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,2,0,1,0,0,"DesgostoTristeza"
0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,1,1,0,0,1,"DesgostoTristeza"
0,0,1,3,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,3,1,0,0,"Neutro"
0,0,2,2,0,0,0,0,3,1,0,0,0,0,1,3,0,0,0,0,3,1,0,0,"DesgostoSurpresaTristeza"
2,0,1,2,0,0,1,0,0,3,1,0,0,0,0,5,0,0,0,1,0,4,0,0,"SurpresaTristeza"
0,0,1,3,0,0,0,0,1,3,0,0,1,0,1,2,0,0,0,0,3,0,0,1,"NeutroSurpresa"
0,0,2,0,0,2,0,0,2,2,0,0,1,1,0,2,0,0,0,0,2,0,2,0,"Neutro"
1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,"DesgostoTristeza"
0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,2,1,0,0,"MedoNeutroTristeza"
2,0,0,3,0,1,2,0,2,2,0,0,1,0,0,5,0,0,2,1,2,0,0,1,"MedoRaivaTristeza"
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"MedoTristeza"
1,0,1,0,3,1,0,1,0,5,0,0,3,0,1,2,0,0,0,0,1,2,0,3,"Desgosto"
0,0,0,3,0,2,0,0,2,3,0,0,2,0,1,2,0,0,0,0,3,0,0,1,"AlegriaSurpresa"
2,0,1,4,0,1,1,0,2,4,1,0,1,0,1,6,0,0,1,1,3,2,0,1,"Alegria"
0,0,0,2,0,1,0,0,1,2,0,0,1,0,0,2,0,0,1,0,1,0,0,1,"NeutroTristeza"
3,0,0,3,0,0,1,0,2,0,2,1,0,0,1,4,0,1,1,2,1,1,0,1,"SurpresaTristeza"
0,0,2,3,0,1,1,0,3,2,0,0,1,0,0,5,0,0,1,0,4,0,0,1,"Tristeza"
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"SurpresaTristeza"
2,0,1,2,0,3,0,0,1,5,2,0,3,0,0,4,0,1,0,2,1,1,1,3,"AlegriaSurpresa"
1,0,4,2,0,0,1,0,5,1,0,0,0,0,0,7,0,0,1,1,3,2,0,0,"MedoTristeza"
2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,"Tristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoTristeza"
0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,3,0,0,0,0,2,2,0,0,"MedoTristeza"
0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,2,1,0,0,0,0,2,"DesgostoMedo"
0,1,0,3,1,0,0,1,1,3,0,0,2,0,0,3,0,0,0,1,1,1,0,2,"NeutroSurpresa"
