"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
0.21,0,0.18,0,0.23,0,0.35,0,0,0,0,0,0.17,0,0.17,0,"Neutro"
1.58,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
1.78,-0.01,3.39,0,0.07,0,0.08,0,0,0,0,0,0.07,0,0.07,0,"Tristeza"
0.8,0.07,2.74,0,0.01,0,0,-1.9,0,0.01,0,0.01,-0.01,0,0.02,-0.73,"Medo"
0,0,0,0,0,0,0,-4.6,0,0,0,-0.25,0.06,0,0.06,-1.93,"Medo"
0.14,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,"Medo"
3.36,0,3.63,0,0,0,0,0,0,0,0,0,0,0,-0.08,0,"Tristeza"
0.26,-0.06,2.34,0,0.25,0,0.19,-0.11,0,0,0,0,0.31,-0.3,0.01,-0.06,"Neutro"
2.06,0.07,2.24,0.07,0,-0.13,0,-1.82,0,0,0,0.12,0.11,-0.09,0.11,-0.09,"Neutro"
3.76,0,3.85,0,0,0,0,-2.88,0.22,0,0.22,-0.36,0,0,0,0,"Surpresa"
0,0,0,0,0.1,-0.08,0.03,-0.18,0.16,0,0.1,-0.03,-0.03,-0.14,0,-0.16,"Surpresa"
0,0.07,1.79,0,0.01,0,0,0,0,0,0,0,-0.01,0,0.02,0,"Medo"
0,0.15,1.38,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,"Neutro"
0,0,0,0,0,0,0,-1.5,0,0,0,-0.2,0,0,0,0,"Surpresa"
2.49,-0.04,5.19,0,0,0,0,0,0,0,1.68,-0.19,0.17,0,0.17,-0.75,"Alegria"
2.56,0.06,6,0,0,0,0,0,0.12,0,0.1,0.13,0.11,0,0.02,0,"Neutro"
0,0.07,0,0.07,0,0,0,-1.42,0,0,0,0.04,0,0,0,-0.71,"Alegria"
1.97,0,0.3,0,0,0,0,-1.82,0,0,0,-0.04,0.08,0,0.08,0,"Neutro"
1.16,0,0.75,0,0.09,0,0.04,0,0,0,0,0,0.45,0,0.45,0,"Surpresa"
1.5,0,1.57,0,0,0,0,-2.99,0,0,0,0.08,0.08,0,0.08,0,"Tristeza"
0,0.16,1.46,0,0,0,0,-1.63,0,0,0,-0.1,0,0,0,0,"Tristeza"
0.22,0,0.25,0,0,-0.19,0,-1.75,0,0,0,-0.24,0,0,0,0,"Alegria"
0.35,0.22,5.96,0,0,0,0,0,0.2,0,0.17,0,0.17,0,0.17,0,"Medo"
1.98,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
1.79,0.36,2.89,0,0,0,0,-3.48,0,0,0,0.04,0.07,0,0.07,-0.82,"Neutro"
2.28,0,2.43,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0,"Tristeza"
0,0,0.16,0,0,0,0,-2.17,0,0,0.15,-0.35,0,0,0,-0.1,"Tristeza"
1.89,0,1.78,0,0.16,0,0.17,0,0,0,0.17,0,0.14,0,0.14,0,"Tristeza"
0,0.01,0.11,0,0.33,-0.08,0.23,-3.2,0,0.04,0,0.73,0.23,0,0.23,-0.24,"Alegria"
0.5,-0.24,2.16,0,0.49,0,0.31,0,0,-0.03,0,-0.15,0.35,0,0.35,0,"Alegria"
0,0,0.28,0,0.15,0,0.1,0,0,0,0,0,0.38,0,0.41,0,"Tristeza"
0,-0.18,1.31,0,0,0,0,-1.89,0,0,0,-0.06,0,0,0,0,"Medo"
0,0.15,1.76,0,0.06,0,0.1,0,0,0,0,0,0.12,0,0.12,0,"Medo"
0.4,0,0.24,0,0,0,0.03,-1.28,0,0,0,0.37,0.14,0,0.03,0,"Surpresa"
0.59,0.25,3.77,0,0.25,0,0.19,0,0,0,0,0,0.26,0,0.26,0,"Medo"
0.43,0,0.47,0,0,0,0,0,0.24,0,0.23,-0.03,0.14,0,0.14,0,"Tristeza"
2.42,0.1,0.43,0.09,0.14,0,0.11,-1.75,0,0,0,-0.13,0.09,0,0.09,0,"Surpresa"
0,0,0,0,0.18,0,0.06,0,0,0,0,0,0.04,0,0.04,0,"Neutro"
0.5,-0.12,1.75,0,-0.06,0,0,-0.78,0.87,0,0,-0.01,0,0,0,0,"Medo"
0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Medo"
1.78,0,1.9,0,0,-0.07,0.05,0,0,0,0,0,0,0,0,0,"Tristeza"
0.19,0,0.15,0,0,0,0,-5.45,0,0,0,-0.32,-0.01,0,-0.01,0,"Neutro"
0.58,-0.91,2.19,0,0,0,0,0,0,0,0,0,0.07,0,0.05,0,"Tristeza"
