"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
1,0,1,0,2,0,1,1,0,0,0,0,4,0,3,1,"MedoTristeza"
3,0,4,0,1,1,0,0,0,1,0,0,3,0,2,0,"Neutro"
0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,"SurpresaTristeza"
3,0,4,0,0,0,0,0,1,0,2,0,2,0,2,0,"Neutro"
0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,"Tristeza"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"RaivaTristeza"
3,0,3,0,2,0,2,0,0,0,0,0,5,0,5,0,"RaivaSurpresa"
1,0,2,0,0,0,0,1,0,1,0,2,2,0,2,0,"AlegriaNeutro"
1,0,1,0,4,0,2,2,1,1,0,1,3,0,2,2,"Neutro"
3,1,4,0,0,0,0,1,1,0,1,0,1,0,1,1,"Neutro"
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Medo"
2,1,1,0,1,0,1,0,0,1,0,1,2,0,1,0,"Raiva"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Medo"
0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,"SurpresaTristeza"
1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,"Surpresa"
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,"AlegriaSurpresa"
0,2,2,0,1,0,1,0,0,1,0,1,1,0,1,0,"NeutroSurpresa"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
1,1,2,0,1,0,0,0,1,0,0,0,1,0,1,0,"Neutro"
3,0,2,0,2,0,0,5,2,0,0,4,3,0,2,2,"Neutro"
0,0,0,0,0,0,0,2,0,0,0,1,2,0,2,0,"MedoTristeza"
3,2,4,0,0,0,0,0,0,0,0,0,4,0,5,0,"Tristeza"
1,0,1,0,0,0,0,2,1,0,1,1,1,0,1,1,"NeutroTristeza"
2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,"Neutro"
2,0,2,0,1,1,0,4,0,0,0,2,5,2,4,3,"RaivaSurpresa"
0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,"MedoTristeza"
0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,"Neutro"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Tristeza"
2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,"AlegriaTristeza"
0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,"NeutroTristeza"
0,2,2,0,0,1,0,1,0,1,0,1,1,0,1,0,"Neutro"
0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,1,"Tristeza"
2,0,2,0,0,0,0,1,0,0,0,1,2,0,2,0,"MedoTristeza"
2,1,3,0,0,0,0,1,2,1,2,2,2,0,2,0,"AlegriaSurpresa"
2,0,2,0,0,0,0,0,1,0,1,0,2,0,2,0,"Tristeza"
1,0,1,0,1,0,1,1,0,0,0,0,2,0,2,1,"Tristeza"
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"Neutro"
0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,"Tristeza"
1,1,2,0,1,0,1,0,0,0,0,0,2,0,2,0,"Tristeza"
1,2,2,1,0,0,0,0,0,1,0,1,1,0,1,0,"Medo"
0,1,1,0,1,0,1,0,0,0,0,0,2,0,2,1,"Alegria"
2,0,3,0,1,0,1,1,0,0,0,1,2,0,2,0,"DesgostoNeutro"
0,2,1,0,1,0,1,0,1,0,0,0,0,0,1,0,"AlegriaNeutro"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,"DesgostoTristeza"
2,0,2,0,0,0,0,1,0,0,0,0,2,0,2,0,"AlegriaNeutro"
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoNeutro"
0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,"DesgostoNeutro"
1,2,2,0,1,0,0,0,0,0,0,0,3,0,2,0,"Medo"
1,2,2,0,0,0,0,0,0,2,1,0,2,0,2,0,"NeutroSurpresa"
1,2,3,0,0,0,0,1,1,0,1,1,0,1,2,0,"AlegriaTristeza"
0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,"Neutro"
0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,"Tristeza"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"NeutroTristeza"
4,1,5,0,1,1,1,3,0,0,0,2,4,0,4,0,"Tristeza"
0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,"Tristeza"
1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"AlegriaNeutro"
1,0,0,0,1,0,1,1,2,0,1,1,1,0,1,0,"Neutro"
0,1,1,0,2,0,1,1,0,0,0,0,2,0,1,1,"Neutro"
3,0,3,0,0,0,0,1,0,0,0,0,1,0,1,1,"AlegriaNeutro"
2,0,2,0,1,1,0,2,0,1,0,1,2,0,1,1,"Surpresa"
1,0,2,0,1,0,1,1,0,0,1,0,2,0,2,0,"RaivaSurpresa"
0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,"DesgostoTristeza"
2,0,3,0,2,0,2,2,0,0,0,1,4,0,4,1,"MedoSurpresa"
0,0,0,0,2,0,1,2,0,0,0,1,2,0,1,1,"NeutroSurpresa"
2,0,2,0,0,0,0,0,1,0,1,0,3,0,3,0,"Neutro"
0,1,1,0,2,0,1,2,0,0,0,1,2,0,2,1,"Neutro"
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,"MedoTristeza"
2,0,2,0,0,1,0,2,0,0,0,0,0,1,1,2,"Tristeza"
0,2,3,0,1,0,1,1,0,0,1,1,1,0,1,0,"Surpresa"
1,1,2,0,2,0,0,2,1,0,0,1,2,0,1,1,"Neutro"
0,0,0,0,0,1,0,2,0,0,0,1,1,1,1,1,"AlegriaDesgosto"
1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,"Tristeza"
1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,"Neutro"
0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,"SurpresaTristeza"
3,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,"DesgostoTristeza"
2,1,3,0,0,0,0,0,0,0,0,0,2,0,3,0,"Medo"
0,1,2,0,2,0,2,0,0,1,2,0,2,0,2,0,"Desgosto"
1,2,2,0,1,0,1,1,0,0,0,1,2,0,2,0,"AlegriaSurpresa"
0,1,1,0,1,0,0,1,1,0,0,1,2,0,2,0,"DesgostoNeutro"
2,0,2,0,0,0,0,2,1,0,1,0,1,0,1,1,"Surpresa"
2,0,2,0,0,1,0,2,1,0,1,1,1,1,1,1,"Medo"
0,2,2,0,1,0,1,0,0,0,0,0,1,0,1,0,"Alegria"
0,1,2,0,1,0,1,1,0,0,0,0,2,0,2,1,"DesgostoSurpresa"
3,3,6,0,1,0,1,0,0,1,1,0,3,1,4,0,"Neutro"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SurpresaTristeza"
3,0,4,0,0,0,0,1,1,0,1,2,2,0,2,0,"SurpresaTristeza"
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"Neutro"
